item_number,name,description,weight,season,keywords,category,image_path,url,quantity
2abddf66,Collapsible Snow Shovel,Backpacking/emergency snow shovel,,Winter,"Shovel, Survival, Emergency, Winter Gear",Tools,,,1
10aa560b,Folding Trowel Shovel,Folding shovel,,"Winter, Spring, Summer, Fall","Shovel, Survival, Bathroom",Tools,,,1
446fecc5,Osprey Sportlite 30 Day Pack,30l Daypack,,"Winter, Spring, Summer, Fall","Backpack, Daypack, Storage, Hiking",Luggage,,,1
eb17d259,Coghlan 3 in 1 Game Roll,"Checkers, Chess, Pachisi",,"Winter, Spring, Summer, Fall","Games, Recreation, Entertainment, Checkers, Chess",Recreaction,,https://www.amazon.com/Coghlans-2182-3-in-1-Game-Roll/dp/B08L82ZKKZ/ref=sr_1_1?crid=2X8YMJ2LUTJKH&dib=eyJ2IjoiMSJ9.H-46HhQZbPWERhSnYkivw23Ey29AqxP3JbLzjf3qNiMwGZgr1oby-wRMRGrJ4_ErGauiT-HgymzOIhMuHeO4pQN-NbJJeJSvkJy-AQiE9C3ItdlOpNJZqc2kpCEDlOrjZN96dTPo-W0npkT_8XeZ3g.mdt_aPl0sSpklH6rPadTcE4qH0A19lVUrL45j6kHSP4&dib_tag=se&keywords=coghlan+game+roll&qid=1735278561&sprefix=coghlans+game+rol%2Caps%2C146&sr=8-1,1
b7ab7a2e,Waterproof Playing Cards,"Playing card set, waterproof and made of plastic",,"Winter, Spring, Summer, Fall","Card Games, Cards, Recreation, Entertainment, Games",Recreaction,,,1
66b9f10f,Miniature DnD Dice Green,D20 dice set,,"Winter, Spring, Summer, Fall","Recreation, Games, Dice, Entertainment, DnD",Recreaction,,,1
bad10463,50ft Paracord 400lb,400lb paracord,,"Winter, Spring, Summer, Fall","Paracord, Rope, Survival",Cordage,,,3
08003d82,50ft Camping Utility Rope,50ft Camping utility rope,,"Winter, Spring, Summer, Fall","Rope, Survival",Cordage,,,1
de4bd783,DJI Mini 2 Fly More Combo,Drone kit with 4k recording. 249g weight. Extra batteries included,,"Winter, Spring, Summer, Fall","Drone, Video, Camera, Recon",Drone,,https://www.amazon.com/DJI-Mini-Fly-More-Combo/dp/B08JGX61H7,1
91fd31a9,GoPro Hero 7 Camera,Waterproof Action Camera with Touch Screen 4K Ultra HD Video 12MP Photos 720p Live Streaming Stabilization,,"Winter, Spring, Summer, Fall","Camera, Video Recording, Recon",Camera,,https://www.amazon.com/GoPro-HERO7-Black-Waterproof-Streaming-Stabilization/dp/B07GDGZCCH/ref=sr_1_4?crid=3I7A4LKC7IQ14&dib=eyJ2IjoiMSJ9.bh7_OVczDONSaRou9noJ3KsRLe0x0kkNPAYx-TmlrJHVYgp2caEEq5Vtik_6nQXDmY5yrtfdfvzBTN0VS-MoDxItPmqiz1zx6HcFsUQ1gknfwggfriZAKCYPuFIlxBNFnqxEkaOkN2m1ZEtLVxHTnWwylGmMPeBFn1QjYjG9DdTwJHyy_SclTrzE_42H2UfY5sEXZaGz4pckucfYsL1DY0Dioy8uQQwViLC5NA9kM0dfEOjXt63ABmtX7v-9kWrEDoDPxp4ZIOKeYBfSczxvy9jPyvcHcjIGZfSseeeUeH5O8hu6otWY2URbdJUx2yHvPWFdw7B1IAmX3i9D9y-ce4JVxqEoZhP0mTtrJxv7q70.WCsHd24oi0z8iaGlZi9kVNmyCMR6kBjCDfsu5AMmDp4&dib_tag=se&keywords=gopro%2Bhero%2B7&qid=1735279447&s=electronics&sprefix=gopro%2Bhero%2B%2Celectronics%2C145&sr=1-4&th=1,1
5c78ee46,GoPro Hero 7 Battery,Battery for GoPro Hero 7,,"Winter, Spring, Summer, Fall","Battery, GoPro",Camera,,,2
c7904aa8,GoPro Hero 7 Battery Charger,"Dual battery charger for GoPro Hero 7 batteries, usb C",,"Winter, Spring, Summer, Fall","Battery, GoPro",Camera,,,1
ff43127d,GoPro Hero 7 Accessory Kit,"Accessories for gopro including mounts, stands, floats, and a case to store everything.",,"Winter, Spring, Summer, Fall","Camera, GoPro Accessories",Camera,,,1
5f5cf928,Cascade Mountain Adventure 70in x 60in Blanket,Lightweight down camp blanket,,"Winter, Spring, Summer, Fall","Blanket, Beach",Sleep,,https://www.sportsmans.com/camping-gear-supplies/sleeping-gear/pillows-blankets-liners/cascade-mountain-adventure-70in-x-60in-blanket/p/p280405,2
89075eaf,Anker 521 Portable Power Station,"256Wh 6-Port PowerHouse, 300W (Peak 600W) Solar Generator (Solar Panel Optional), 2 AC Outlets, 60W USB-C PD Output, Outdoor Generator",,"Winter, Spring, Summer, Fall","Battery Bank, Solar Generator, Power Bank, Charger",Power,,https://www.amazon.com/Anker-Portable-Generator-Station-Outdoor/dp/B09FF46FQ9/ref=sr_1_11?dib=eyJ2IjoiMSJ9.ceNHE3iSa8XV3lQXfspNUh_Ar5OGySVff5oq_QiR6_Lp5v8_CEmgE8s5bGo3gA8GE3dxGuz-EsmtthzlbaAOzIoG6RDOa4MxAd_MZBn4mA71DZPGnnsZB0kO4msoaxyrfIkNV5rnBRj67LVgt54HUYw_tpfT5gn3t4zzJt5QLwI8ht4Mqb3epRVxnOTegrVi4eCUxDiciuUhMZiUNdxhAmgGonNvVxRMNC59PRh0dBE.7vDv2KTbzTmuBrDtg-c7oAGg8GZOPQtOhBcHbwN-TvY&dib_tag=se&keywords=anker%2Bsolar%2Bgenerator&qid=1735280060&sr=8-11&th=1,1
